nombre_completo,DGC,BTC,EVC,PRC,degree,clustering
Jorge Manzur Saffie,0.0014820303816228233,0.0003824038351837349,2.990511300461608e-08,0.00034969834032641544,4,0.5
Diego Venegas Yazigi,0.0014820303816228233,1.207121145648518e-05,3.964383932047568e-09,0.0005699337660101874,4,0.8333333333333334
Evgenia Spodine Spiridonova,0.002223045572434235,0.0008050848726772911,1.9621829242193845e-08,0.0005851635118781974,6,0.4
Luis Ortega Martinez,0.002223045572434235,0.005367697677666205,1.871600728827803e-13,0.0005403316878415491,6,0.26666666666666666
Cristina Moyano Barahona,0.002593553167839941,0.004099232025849662,1.462723241170474e-14,0.0007082382330106946,7,0.14285714285714285
Alejandro Ortiz Bernardin,0.0011115227862171174,3.5704957303737405e-06,1.4954260230544645e-14,0.0003611860463870822,3,0.3333333333333333
Roger Bustamante Plaza,0.0003705075954057058,0.0,2.5348972656412882e-15,0.00020937730076343018,1,0.0
Enrique Vergara Leyton,0.004075583549462764,1.9500399758195045e-05,8.47860603835341e-16,0.0009816679598283297,11,0.23636363636363636
Monica Peña Ochoa,0.0007410151908114116,0.0,2.1213709942858484e-16,0.00021754406007525815,2,1.0
Paulina Chavez Ibarra,0.0007410151908114116,0.0,2.1213709942858484e-16,0.00021754406007525815,2,1.0
Nestor Lagos Wilson,0.0003705075954057058,0.0,2.22808399725346e-06,0.00024524831508870447,1,0.0
Carlos Garcia Mansilla,0.0007410151908114116,0.000347162046399416,3.119329351721754e-05,0.0003317557379200727,2,0.0
Virginia Fernandez Arancibia,0.0011115227862171174,0.0006937747857633899,0.00028879056706005313,0.0003677455770068302,3,0.3333333333333333
Pamela Cornejo Zamorano,0.0007410151908114116,0.0,2.2231242858649923e-05,0.00031446686591520326,2,1.0
Luis Videla Cabrera,0.0007410151908114116,0.0,2.2231242858649923e-05,0.00031446686591520326,2,1.0
Anneliese Meis Wormer,0.002223045572434235,3.845149248094797e-06,1.0826100727077929e-20,0.0008106230129803196,6,0.26666666666666666
Juan Pinilla Aguilera,0.0007410151908114116,0.0,4.488010918155637e-21,0.00036139400508652285,2,1.0
Marcos Caroli Rezende,0.0011115227862171174,5.493070354421139e-07,6.054523420063665e-26,0.0005972455884397581,3,0.3333333333333333
Alejandro Urzua Moll,0.0003705075954057058,0.0,2.789991761792427e-26,0.00015729264293364056,1,0.0
Monica Antilen Lizana,0.0011115227862171174,0.0,9.84586152999059e-07,0.00026290521460172107,3,1.0
Galo Ramirez Jofre,0.0029640607632456465,0.0062880289782514705,1.0662513772827243e-06,0.000547098108459298,8,0.32142857142857145
Fernando Diaz Alzamora,0.0014820303816228233,1.538059699237919e-05,6.570583906385007e-18,0.00039945605361994314,4,0.5
Desmond Macleod Carey Castro,0.002223045572434235,2.2658915211987202e-05,2.0263668213484633e-17,0.0005945158871291795,6,0.26666666666666666
Sergio Aguilera Covarrubias,0.0014820303816228233,0.0,5.072569820738788e-05,0.00037647090637452915,4,1.0
Claudio Molina Castillo,0.0014820303816228233,0.0,5.072569820738788e-05,0.00037647090637452915,4,1.0
Sergio Gonzalez Providell,0.0014820303816228233,0.0,5.072569820738788e-05,0.00037647090637452915,4,1.0
Maria Gonzalez Burgos,0.003705075954057058,0.0026928865925009587,0.000557983350183364,0.0006719018467442944,10,0.28888888888888886
Luis Perillan Torres,0.0003705075954057058,0.0,3.2103570656197263e-33,0.00037037037037037035,1,0.0
Fidel Del Villar Muñoz,0.0003705075954057058,0.0,3.2103570656197263e-33,0.00037037037037037035,1,0.0
Mauricio Isaacs Casanova,0.003334568358651352,0.005625312340857752,3.2511433345015055e-07,0.0006352131320331811,9,0.3611111111111111
